,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,39,govt,77516,Graduate,13,Single,White-Collar,Not-Family,White,Male,2174,0,40,US,<=50K
1,50,self_emp,83311,Graduate,13,Married,White-Collar,Family,White,Male,0,0,13,US,<=50K
2,38,private,215646,NonGraduate,9,Separated,Blue-Collar,Not-Family,White,Male,0,0,40,US,<=50K
3,53,private,234721,NonGraduate,7,Married,Blue-Collar,Family,Black,Male,0,0,40,US,<=50K
4,28,private,338409,Graduate,13,Married,White-Collar,Family,Black,Female,0,0,40,Non-US,<=50K
5,37,private,284582,Graduate,14,Married,White-Collar,Family,White,Female,0,0,40,US,<=50K
6,49,private,160187,NonGraduate,5,Separated,Service,Not-Family,Black,Female,0,0,16,Non-US,<=50K
7,52,self_emp,209642,NonGraduate,9,Married,White-Collar,Family,White,Male,0,0,45,US,>50K
8,31,private,45781,Graduate,14,Single,White-Collar,Not-Family,White,Female,14084,0,50,US,>50K
9,42,private,159449,Graduate,13,Married,White-Collar,Family,White,Male,5178,0,40,US,>50K
10,37,private,280464,Graduate,10,Married,White-Collar,Family,Black,Male,0,0,80,US,>50K
11,30,govt,141297,Graduate,13,Married,White-Collar,Family,Asian-Pac-Islander,Male,0,0,40,Non-US,>50K
12,23,private,122272,Graduate,13,Single,White-Collar,Family,White,Female,0,0,30,US,<=50K
13,32,private,205019,Graduate,12,Single,White-Collar,Not-Family,Black,Male,0,0,50,US,<=50K
14,40,private,121772,Graduate,11,Married,Blue-Collar,Family,Asian-Pac-Islander,Male,0,0,40,,>50K
15,34,private,245487,NonGraduate,4,Married,Blue-Collar,Family,Amer-Indian-Eskimo,Male,0,0,45,Non-US,<=50K
16,25,self_emp,176756,NonGraduate,9,Single,Blue-Collar,Family,White,Male,0,0,35,US,<=50K
17,32,private,186824,NonGraduate,9,Single,Blue-Collar,Not-Family,White,Male,0,0,40,US,<=50K
18,38,private,28887,NonGraduate,7,Married,White-Collar,Family,White,Male,0,0,50,US,<=50K
19,43,self_emp,292175,Graduate,14,Separated,White-Collar,Not-Family,White,Female,0,0,45,US,>50K
20,40,private,193524,Graduate,16,Married,White-Collar,Family,White,Male,0,0,60,US,>50K
21,54,private,302146,NonGraduate,9,Separated,Service,Not-Family,Black,Female,0,0,20,US,<=50K
22,35,govt,76845,NonGraduate,5,Married,Blue-Collar,Family,Black,Male,0,0,40,US,<=50K
23,43,private,117037,NonGraduate,7,Married,Blue-Collar,Family,White,Male,0,2042,40,US,<=50K
24,59,private,109015,NonGraduate,9,Separated,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
25,56,govt,216851,Graduate,13,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
26,19,private,168294,NonGraduate,9,Single,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
27,54,,180211,Graduate,10,Married,,Family,Asian-Pac-Islander,Male,0,0,60,Non-US,>50K
28,39,private,367260,NonGraduate,9,Separated,White-Collar,Not-Family,White,Male,0,0,80,US,<=50K
29,49,private,193366,NonGraduate,9,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
